company_name,website,phone
A. Hoffmann Haus- und Vermögensverwaltung GmbH,http://hvvh.de,+49-8151-5566228
Accurata Immobilienverwaltung GmbH,http://accurata.de,
ACH Haus- und Grundbesitzverwaltung GmbH,http://ach-immobilien.de,
aitia Gesellschaft für Fondsmanagement mbH,http://aitia-gmbh.de,
