company_name,website
A. Hoffmann Haus- und Vermögensverwaltung GmbH,http://hvvh.de
Accurata Immobilienverwaltung GmbH,http://accurata.de
ACH Haus- und Grundbesitzverwaltung GmbH,http://ach-immobilien.de
aitia Gesellschaft für Fondsmanagement mbH,http://aitia-gmbh.de
